DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT13,2017,38.0,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT13,2018,38.0,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT13,2019,38.3,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT13,2020,38.4,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT2,2016,46.3,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT2,2017,46.6,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT2,2018,46.9,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT2,2019,47.2,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT2,2020,47.4,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT2,2016,44.8,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT2,2017,45.1,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT2,2018,45.4,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT2,2019,45.6,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT2,2020,45.8,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT2,2016,43.3,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT2,2017,43.5,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT2,2018,43.7,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT2,2019,44.0,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT2,2020,44.2,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT21,2016,47.4,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT21,2017,47.8,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT21,2018,48.2,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT21,2019,48.5,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT21,2020,48.9,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT21,2016,46.0,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT21,2017,46.3,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT21,2018,46.7,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT21,2019,47.1,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT21,2020,47.4,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT21,2016,44.4,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT21,2017,44.7,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT21,2018,45.1,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT21,2019,45.4,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT21,2020,45.7,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT22,2016,45.8,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT22,2017,46.0,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT22,2018,46.3,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT22,2019,46.5,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,FMEDAGEPOP,YR,AT22,2020,46.8,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT22,2016,44.3,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT22,2017,44.5,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT22,2018,44.7,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT22,2019,44.9,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MEDAGEPOP,YR,AT22,2020,45.1,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT22,2016,42.7,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT22,2017,42.9,
ESTAT:DEMO_R_PJANIND2$DEFAULTVIEW(1.0),11/03/21 23:00:00,A,MMEDAGEPOP,YR,AT22,2018,43.1,
